,Kasturi Foundry Pvt. Ltd.(UNIT 1),,
,,,
,"T-6 Kagal-Hatkanangale Five Star MIDC , Kagal 416236.",,
,Tool Cost Report From :- 01/01/2024 To :-27/01/2024,,
,,,
,,,
,Component Name,Operation Name,Tool Discription
KFPLU1|PM|HMC|70,HOUSING FRONT 4656.401.158,1st OPERATION,
,,,R - PS SC REAMER DIA 19.995 K7 X 10 X 65 X 120 X 20h6 SCZF (REMTACH)
,,,R - PULL STUD BT 50 SPECIAL
,,,R - ROUGH BORING BAR DIA 140 WITH  C'FER X 210 GPL ZF WG HSG
,,,R - ROUGH BORING BAR DIA 189.5 X 160 GPL ZF WG HSG
,,,R - ROUGH BORING BAR DIA 39.5 X 185 GPL ZF WG HSG
,,,R - ROUGH BORING BAR DIA 39.5/75.7 WITH BOTH C'FER X 245 GPL ZF WG HSG
,,,R - ROUGH BORING BAR DIA 59.5/94.5 WITH BOTH C'FER X 236 GPL ZF WG HSG
,,,R - ROUGH BORING BAR DIA 75.72 WITH CHF X 150 GPL ZF WG HSG
,,,R - ROUGH BORING BAR DIA 84.25/ 94.5 WITH  C'FER X 240 GPL ZF WG HSG
,,,R - ROUGH BORING BAR DIA 84.5/59.5 WITH C.FER ZF WG HSG
,,,R - ROUGH BORING BAR DIA 94.5/84.3 WITH CHF X 150 GPL ZF WG HSG
,,,R - ROUGH BORING BAR DIA 99.5/125 X 220 GPL ZF WG HSG
,,,R - ROUGH BORING BAR OF DIA 63.00 X GPL-240.00 X BT-50 DRG NO 8409 ZF WG H 
,,,R - ROUGH BORING BAR OF DIA 64.10 X GPL-200.00 X BT-50 DRG NO 8408 CAP EXITER
,,,R - ROUGH BORING DIA 135.0/126.5 WITH C'FER X 155 GPL ZF WG HSG
,,,R - ROUGH BORING DIA 99.5 WITH CHF X 150 GPL ZF WG HSG
,,,R - SC DRILL DIA 19.7 X FL-55 X SH20 X 100 OAL
,,,R - SC STEP DRILL DIA 6.25/9.75 X SH10 X FL-40 X 100 OAL
,,,R - SC STEP DRILL DIA 6.8/11.5 X FL-35 X SH10 X 80 OAL
,,,R - SC STEP DRILL DIA 8/12.6 X 16.575 X SH20 X FL-45 X 100
,,,R - SC STEP REAMER DIA 12.6 X 16.575 X SH20 X FL-40 X 100
,,,R - SDMT 120410 TN-M TT 6030
,,,R - SEALED COLLET ER 16 10 MM
,,,R - SEALED COLLET ER 16 8 MM
,,,R - SEALED COLLET ER 25 10 MM
,,,R - SEALED COLLET ER 32 -20MM
,,,R - SEALED TAP COLLET ER 16 8-6.2
,,,R - SEALED TAP COLLET ER 25 10 X 8
,,,R - SEALED TAP COLLET ER 25 8 X 6.3
,,,R - SEALED TAP COLLET ER 32 12.5 X 10
,,,R - SEALED TAP COLLET ER 32 16 X 12.5
,,,R - SEMI FINISH UNDERCUT BORING BAR DIA 189.50 X 165 GPL ZF WG HSG
,,,R - SEMI FINISH UNDERCUT BORING BAR DIA 75.22 X 220 GPL (COMMON FOR REAR & FRONT) ZF WG HSG
,,,R - SEMI FINISH UNDERCUT BORING BAR DIA 94.5 X 220 GPL (COMMON FOR REAR & FRONT) ZF WG HSG
,,,R - SEMI FINISH UNDERCUT BORING BAR DIA 99.50 X 220 GPL (COMMON FOR REAR & FRONT) ZF WG HSG
,,,R - SHRINK FIT ADAPTOR BT50/T0600 GPL 90 AD/B
,,,R - SHRINK FIT ADAPTOR BT50/T1000 GPL 100 A
,,,R - SHRINK FIT ADAPTOR BT50/T1200 GPL 100 A
,,,R - SHRINK FIT ADAPTOR BT50/T1400 GPL 120 A
,,,R - SHRINK FIT ADAPTOR BT50/T1600 GPL 100
,,,R - SHRINK FIT ADAPTOR BT50/T1800 GPL 100 A
,,,R - SHRINK FIT ADAPTOR BT50/T2000 GPL 90 A 
,,,R - SNGN 120412 T02020 CW5025
,,,R - SNGX 1306C08 ZN-M TT 7515
,,,R - SNHX 120412 T125-S
,,,R - SPARE SO 35080I
,,,R - SPARE-TS 40B100 I
,,,R - SPL CHAMFER TOOL DIA 103.0 11° X 210 GPL ZF WG HSG
,,,R - SPL CHAMFER TOOL DIA 40x15° X 150 GPL ZF WG HSG
,,,R - SPL COMB U DRILL DIA 19.3/19.7 WITH C'FER X 170 GPL ZF WG HSG
,,,"R - SPL DAMP BORING BAR OF DIA31.0,OAL-250.0,SHANK-32.0 DRG,NO-09072 ZFWG"
,,,R - SPL. COMB. ROUGH BORING BAR OF DIA 46.0 / DIA 47.50/ DIA 49.50 WITH CHAMFER 20° WITH BT-50
,,,R - SPL. COMB. ROUGH BORING BAR OF DIA 54.90 / DIA 63.50/ DIA 91.00 / DIA 124 WITH BT-50
,,,R - SPL.COMB ROUGHING BORINGBAR OF DIA 52 X 10 X 62 X GPL 260 BT 50 
,,,R - SPMG 07T308 DG TT9030
,,,R - SPMG 090408-32000008
,,,R - SPMX 110408 YG 602
,,,R - SPOT FACE CUTTER DRIA 30 X 180 GPL ZF WG HSG
,,,R - SPOT FACE DIA 74.0 X 155 GPL ZF WG HSG
,,,R - SRF/SC-ST/ 183 PS SC STEP DRILL DIA 7 X SL30 X DIA 9 X OAL 100 X SH DIA 10 TC
,,,R - SRF/SC-ST/ 184 PS SC STEP DRILL DIA 6.8 X SL14.5 X DIA 10 X OAL 100 X SH DIA 10 TC
,,,R - SRF/SC-ST/ 185 PS SC STEP DRILL DIA 11 X SL60 X DIA 14 X OAL 120 X SH DIA 10 TC
,,,R - SRF/SC-ST/ 186 PS SC STEP DRILL DIA 9 X SL70 X DIA 10.5 X OAL 160 X SH DIA 12 TC
,,,R - SRF/SC-ST/ 188 PS SC STEP DRILL DIA 8 X SL 40 X DIA 12.5 X SL7.3X DIA 16.5 X OAL 120 X SH DIA 18 
,,,R - SRF/SC-ST/ 189 PS SC STEP DRILL DIA 11.5 X SL70 X OAL 140 X SH DIA 12 TC 
,,,R - TAP ENORM 1-Z/E TIN LK-M6 X 1 BT EFIB061A.1052
,,,R - TAP ENORM 1-Z/E TIN LK-M8 X 1.25 BT EFIB061A.1052
